Year,Sex,Age,Incidence Rate,Incident Cases,Population at Risk,Standard Error
2007,BOTH,25to29,19.275000000000002,54.0,280161.9791,2.62
2007,BOTH,30to34,23.352,61.0,261217.89305,2.99
2007,BOTH,35to39,26.751,69.0,257929.72848000002,3.22
2007,BOTH,40to44,25.049,69.0,275464.23519000004,3.02
2007,BOTH,45to49,33.81,97.0,286893.14393,3.43
2007,BOTH,50to54,28.383,72.0,253675.32975,3.3400000000000003
2007,BOTH,55to59,22.969,45.0,195919.55754,3.4200000000000004
2007,BOTH,60to64,15.005,22.0,146619.64777,3.2
2007,BOTH,65to69,9.388,10.0,106514.46694000001,2.97
2007,BOTH,70to74,8.045,7.0,87008.24577700002,3.04
2007,BOTH,75to79,5.472,4.0,73097.27776299999,2.74
2007,BOTH,80to84,7.805000000000001,4.0,51246.63555500001,3.9000000000000004
2007,BOTH,85+,0.0,0.0,44572.376225,4.49
2007,FEMALE,ALL,22.371000000000002,385.0,1721009.0451,1.1400000000000001
2007,FEMALE,00to19,0.911,4.0,439101.90144000005,0.46
2007,FEMALE,20to24,17.852,24.0,134437.81350000002,3.64
2007,FEMALE,25to29,32.945,44.0,133554.50537,4.970000000000001
2007,FEMALE,30to34,35.198,44.0,125007.48872000001,5.3100000000000005
2007,FEMALE,35to39,39.634,49.0,123631.40523,5.66
2007,FEMALE,40to44,38.239000000000004,51.0,133370.38023,5.3500000000000005
2007,FEMALE,45to49,50.781000000000006,71.0,139815.67826000002,6.03
2007,FEMALE,50to54,34.134,42.0,123044.51702,5.2700000000000005
2007,FEMALE,55to59,26.005,25.0,96136.031171,5.2
2007,FEMALE,60to64,21.901000000000003,16.0,73054.580895,5.48
2007,FEMALE,65to69,14.731000000000002,8.0,54307.950784,5.21
2007,FEMALE,70to74,6.585,3.0,45559.39207,3.8000000000000003
2007,FEMALE,75to79,2.528,1.0,39557.461241000005,2.53
2007,FEMALE,80to84,9.888,3.0,30338.9775,5.71
2007,FEMALE,85+,0.0,0.0,30090.961634000003,6.65
2007,MALE,ALL,9.187999999999999,164.0,1785016.1395,0.7200000000000001
2007,MALE,00to19,0.21500000000000002,1.0,464364.8361000001,0.22
2007,MALE,20to24,4.06,6.0,147800.11644,1.6600000000000001
2007,MALE,25to29,6.821000000000001,10.0,146607.47371999998,2.16
2007,MALE,30to34,12.481,17.0,136210.40433,3.03
2007,MALE,35to39,14.892000000000001,20.0,134298.32325000002,3.33
2007,MALE,40to44,12.668000000000001,18.0,142093.85495,2.99
2007,MALE,45to49,17.678,26.0,147077.46567,3.47
2007,MALE,50to54,22.965000000000003,30.0,130630.81274000001,4.19
2007,MALE,55to59,20.043,20.0,99783.52637,4.48
2007,MALE,60to64,8.155999999999999,6.0,73565.066873,3.33
2007,MALE,65to69,3.8310000000000004,2.0,52206.516156,2.71
2007,MALE,70to74,9.650000000000002,4.0,41448.853707,4.830000000000001
2007,MALE,75to79,8.945,3.0,33539.816522,5.16
2007,MALE,80to84,4.783,1.0,20907.658056000004,4.78
2007,MALE,85+,0.0,0.0,14481.414591,13.81
2008,BOTH,ALL,16.056,576.0,3587388.3929000003,0.6700000000000002
2008,BOTH,00to19,0.766,7.0,914343.7156600001,0.29000000000000004
2008,BOTH,20to24,7.029,20.0,284527.45723,1.57
2008,BOTH,25to29,22.313000000000002,66.0,295796.84852,2.75
2008,BOTH,30to34,28.102,76.0,270444.67758,3.22
2008,BOTH,35to39,29.882,79.0,264376.80251,3.3600000000000003
2008,BOTH,40to44,26.989,73.0,270481.31178,3.16
2008,BOTH,45to49,32.834,96.0,292383.40137000004,3.35
2008,BOTH,50to54,26.131,69.0,264053.94276,3.15
2008,BOTH,55to59,18.235,37.0,202908.84795000002,3.0
2008,BOTH,60to64,15.976,25.0,156484.0344,3.2
2008,BOTH,65to69,12.595,14.0,111151.79393000001,3.37
2008,BOTH,70to74,6.844,6.0,87663.861239,2.79
2008,BOTH,75to79,6.752,5.0,74056.95557,3.02
2008,BOTH,80to84,1.9040000000000001,1.0,52519.052082,1.9000000000000001
2008,BOTH,85+,4.329,2.0,46195.690354000006,3.06
2008,FEMALE,ALL,23.299000000000003,410.0,1759730.7796000002,1.1500000000000001
2008,FEMALE,00to19,0.899,4.0,444993.94486000005,0.45
2008,FEMALE,20to24,10.99,15.0,136487.96253,2.8400000000000003
2008,FEMALE,25to29,35.39000000000001,50.0,141283.3452,5.0
2008,FEMALE,30to34,41.824000000000005,54.0,129113.82694,5.69
2008,FEMALE,35to39,39.519,50.0,126521.30542,5.59
2008,FEMALE,40to44,43.797000000000004,57.0,130146.27654,5.800000000000001
2008,FEMALE,45to49,50.684000000000005,72.0,142057.00551,5.970000000000001
2008,FEMALE,50to54,43.143,55.0,127483.59793,5.82
2008,FEMALE,55to59,20.16,20.0,99208.30584,4.51
2008,FEMALE,60to64,16.695,13.0,77865.547577,4.630000000000001
2008,FEMALE,65to69,15.894,9.0,56626.74669000001,5.300000000000001
2008,FEMALE,70to74,10.88,5.0,45956.819979,4.870000000000001
2008,FEMALE,75to79,7.485,3.0,40077.669003,4.319999999999999
2008,FEMALE,80to84,3.249,1.0,30780.277281000002,3.25
2008,FEMALE,85+,6.425000000000001,2.0,31128.148303,4.54
2008,MALE,ALL,9.083,166.0,1827657.6133,0.7000000000000001
2008,MALE,00to19,0.6390000000000001,3.0,469349.7708,0.37000000000000005
2008,MALE,20to24,3.3770000000000002,5.0,148039.49471,1.51
2008,MALE,25to29,10.355,16.0,154513.50332,2.59
2008,MALE,30to34,15.566,22.0,141330.85064000002,3.3200000000000003
2008,MALE,35to39,21.037,29.0,137855.49708,3.91
2008,MALE,40to44,11.401,16.0,140335.03524,2.85
2008,MALE,45to49,15.965,24.0,150326.39586000002,3.2600000000000002
